# frame t_err(m) r_err(deg) dx dy dz
108 0.080662 1.595177 0.027018 0.016092 -0.074279
109 0.086639 1.562527 0.016328 0.029882 -0.079667
110 0.074974 1.611100 0.007465 -0.000950 -0.074595
111 0.077702 1.789606 0.025495 -0.021149 -0.070288
112 0.081604 1.812095 0.034811 -0.028009 -0.068285
113 0.081767 1.825672 0.043381 -0.006238 -0.069029
114 0.077573 1.873242 0.025723 -0.002730 -0.073133
115 0.072274 1.865264 0.024471 -0.007900 -0.067544
116 0.066298 1.581365 -0.011126 -0.012521 -0.064147
117 0.068264 1.316839 -0.006771 -0.030781 -0.060553
118 0.064277 1.198633 -0.019535 -0.020711 -0.057628
119 0.063556 1.093087 -0.011853 -0.022859 -0.058106
120 0.069409 1.103794 -0.014456 -0.039631 -0.055118
121 0.068603 1.283095 0.012447 -0.026265 -0.062141
122 0.076618 1.363424 0.035769 0.007441 -0.067346
123 0.072799 1.502978 0.027742 0.022434 -0.063458
124 0.068051 1.622366 0.001928 0.000508 -0.068022
125 0.070849 1.651030 0.004656 0.000573 -0.070694
126 0.090854 1.682331 0.044212 0.026798 -0.074711
127 0.108699 1.785042 0.049207 0.050546 -0.082699
128 0.087284 1.726794 0.018936 0.031804 -0.079047
129 0.075979 1.773784 0.009310 -0.003410 -0.075330
130 0.074513 1.760820 0.014941 -0.013931 -0.071658
131 0.089709 1.892701 0.059311 0.007208 -0.066918
132 0.093550 2.075512 0.064993 0.017894 -0.064864
133 0.091272 2.031411 0.042829 0.029470 -0.075018
134 0.083923 1.863317 0.027314 0.013564 -0.078186
135 0.078917 1.916853 0.024124 0.018389 -0.072854
136 0.090194 1.880636 0.037275 0.023818 -0.078602
137 0.088057 1.802733 0.026394 0.024227 -0.080439
138 0.078639 1.739982 0.011546 0.008284 -0.077345
139 0.078849 1.614048 -0.006829 0.005886 -0.078332
140 0.074305 1.466324 -0.002868 -0.003620 -0.074162
141 0.074885 1.363023 0.008668 -0.003312 -0.074308
142 0.077843 1.372962 0.013767 0.008897 -0.076098
143 0.086182 1.499169 0.029121 0.025243 -0.077085
144 0.089913 1.656355 0.025993 0.028703 -0.081147
145 0.086141 1.683224 0.029998 0.017092 -0.078919
146 0.083132 1.775669 0.026739 0.006402 -0.078453
147 0.090697 1.922035 0.041351 0.021426 -0.077827
148 0.097651 2.013862 0.039068 0.026456 -0.085495
149 0.095485 2.024993 0.034482 0.035214 -0.081782
150 0.092749 1.952509 0.033367 0.015115 -0.085209
151 0.093423 2.018845 0.036116 0.020979 -0.083567
152 0.097043 2.028766 0.049403 0.017244 -0.081727
153 0.096368 2.024175 0.040976 0.022477 -0.084277
154 0.101047 2.088494 0.049953 0.022845 -0.084814
155 0.101555 2.049761 0.049467 0.020160 -0.086371
156 0.103952 2.186120 0.040894 0.032887 -0.089734
157 0.098824 2.110892 0.038392 0.022685 -0.088190
158 0.096599 2.175744 0.028204 0.020778 -0.090023
159 0.105471 2.170154 0.045187 0.033389 -0.089260
160 0.104784 2.117740 0.045752 0.029648 -0.089484
161 0.098190 2.117248 0.038628 0.017241 -0.088611
162 0.099849 2.164070 0.037395 -0.009680 -0.092075
163 0.102849 2.209821 0.042085 -0.002235 -0.093817
164 0.107997 2.276126 0.048481 0.021042 -0.094182
165 0.107032 2.213674 0.042343 0.026199 -0.094745
166 0.106752 2.167694 0.045019 0.014775 -0.095660
167 0.123357 2.137497 0.075341 0.030406 -0.092822
168 0.126784 2.247282 0.080921 0.029154 -0.093146
169 0.104920 2.161590 0.048498 0.013405 -0.092068
170 0.095968 2.082905 0.015624 -0.009237 -0.094236
171 0.096476 1.999393 0.018217 -0.011858 -0.093995
172 0.098542 1.838583 0.024089 0.003545 -0.095486
173 0.099959 1.772998 0.023996 0.018883 -0.095181
174 0.100019 1.747322 0.022864 0.017769 -0.095736
175 0.094950 1.746887 0.011623 0.008225 -0.093877
176 0.102670 1.717073 0.022284 0.020776 -0.098045
