# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
46 0.98605 0.16474 -0.02386 -0.16486 -0.16429 0.98621 0.01977 -0.90010 0.02679 -0.01558 0.99952 -0.06610
47 0.98590 0.16558 -0.02422 -0.16032 -0.16512 0.98608 0.01962 -0.92192 0.02713 -0.01535 0.99951 -0.06413
48 0.98620 0.16392 -0.02330 -0.17591 -0.16345 0.98634 0.02058 -0.95533 0.02636 -0.01648 0.99952 -0.06748
49 0.98613 0.16444 -0.02271 -0.18674 -0.16403 0.98628 0.01882 -1.00191 0.02549 -0.01483 0.99957 -0.06533
50 0.98582 0.16628 -0.02240 -0.19036 -0.16590 0.98598 0.01787 -1.05392 0.02506 -0.01391 0.99959 -0.06731
51 0.98609 0.16456 -0.02326 -0.18740 -0.16422 0.98629 0.01599 -1.07903 0.02557 -0.01194 0.99960 -0.06634
52 0.98601 0.16498 -0.02377 -0.19395 -0.16464 0.98623 0.01570 -1.12459 0.02603 -0.01157 0.99959 -0.06461
53 0.98622 0.16373 -0.02380 -0.21316 -0.16338 0.98643 0.01598 -1.15693 0.02609 -0.01187 0.99959 -0.06318
54 0.98614 0.16427 -0.02334 -0.22521 -0.16395 0.98635 0.01521 -1.20089 0.02551 -0.01117 0.99961 -0.06711
55 0.98617 0.16427 -0.02215 -0.21742 -0.16397 0.98635 0.01489 -1.23466 0.02429 -0.01105 0.99964 -0.06388
56 0.98650 0.16238 -0.02147 -0.22638 -0.16210 0.98668 0.01388 -1.26679 0.02344 -0.01021 0.99967 -0.06530
57 0.98640 0.16292 -0.02165 -0.23256 -0.16265 0.98659 0.01368 -1.30379 0.02358 -0.00997 0.99967 -0.06485
58 0.98631 0.16354 -0.02114 -0.24092 -0.16331 0.98650 0.01210 -1.34843 0.02284 -0.00848 0.99970 -0.06427
59 0.98641 0.16274 -0.02238 -0.24261 -0.16251 0.98664 0.01187 -1.38331 0.02401 -0.00807 0.99968 -0.06001
60 0.98652 0.16177 -0.02464 -0.25903 -0.16151 0.98679 0.01232 -1.42635 0.02631 -0.00818 0.99962 -0.06057
61 0.98644 0.16219 -0.02509 -0.27071 -0.16191 0.98672 0.01272 -1.46658 0.02682 -0.00849 0.99960 -0.06116
62 0.98664 0.16085 -0.02585 -0.28104 -0.16057 0.98694 0.01266 -1.49594 0.02755 -0.00834 0.99959 -0.06126
63 0.98644 0.16212 -0.02561 -0.27991 -0.16182 0.98673 0.01344 -1.53786 0.02745 -0.00911 0.99958 -0.06167
64 0.98667 0.16082 -0.02476 -0.29518 -0.16051 0.98693 0.01421 -1.57412 0.02672 -0.01004 0.99959 -0.06312
65 0.98668 0.16105 -0.02307 -0.29716 -0.16074 0.98689 0.01456 -1.61139 0.02511 -0.01065 0.99963 -0.06205
66 0.98667 0.16122 -0.02211 -0.30662 -0.16093 0.98686 0.01449 -1.65455 0.02416 -0.01074 0.99965 -0.06283
67 0.98668 0.16119 -0.02190 -0.30361 -0.16091 0.98687 0.01395 -1.69034 0.02386 -0.01024 0.99966 -0.06154
68 0.98684 0.16021 -0.02184 -0.31882 -0.15994 0.98703 0.01378 -1.72950 0.02376 -0.01011 0.99967 -0.06329
69 0.98676 0.16077 -0.02141 -0.32551 -0.16048 0.98693 0.01461 -1.76630 0.02348 -0.01098 0.99966 -0.06170
70 0.98693 0.15984 -0.02053 -0.33165 -0.15956 0.98708 0.01470 -1.80211 0.02262 -0.01123 0.99968 -0.06291
71 0.98701 0.15934 -0.02070 -0.33527 -0.15905 0.98716 0.01490 -1.83723 0.02281 -0.01141 0.99967 -0.06214
72 0.98707 0.15874 -0.02230 -0.32929 -0.15844 0.98726 0.01454 -1.87154 0.02432 -0.01082 0.99965 -0.05622
73 0.98705 0.15841 -0.02535 -0.35700 -0.15804 0.98731 0.01578 -1.92999 0.02753 -0.01156 0.99955 -0.06075
74 0.98725 0.15723 -0.02482 -0.37660 -0.15684 0.98748 0.01711 -1.95770 0.02720 -0.01300 0.99955 -0.05649
75 0.98745 0.15605 -0.02445 -0.37068 -0.15565 0.98766 0.01764 -1.98728 0.02690 -0.01362 0.99955 -0.06027
76 0.98804 0.15236 -0.02362 -0.37096 -0.15197 0.98823 0.01760 -2.02814 0.02602 -0.01380 0.99957 -0.05944
77 0.98845 0.14966 -0.02363 -0.38529 -0.14925 0.98863 0.01822 -2.07044 0.02609 -0.01448 0.99955 -0.05630
78 0.98896 0.14634 -0.02327 -0.39005 -0.14591 0.98911 0.01924 -2.10520 0.02584 -0.01564 0.99954 -0.05421
79 0.98974 0.14093 -0.02361 -0.39962 -0.14046 0.98988 0.02035 -2.13591 0.02624 -0.01682 0.99951 -0.05276
80 0.99032 0.13676 -0.02377 -0.40413 -0.13626 0.99044 0.02150 -2.16818 0.02649 -0.01805 0.99949 -0.05392
81 0.99078 0.13357 -0.02252 -0.40701 -0.13310 0.99087 0.02126 -2.21073 0.02515 -0.01806 0.99952 -0.05468
82 0.99125 0.12996 -0.02309 -0.41886 -0.12948 0.99136 0.02115 -2.23406 0.02563 -0.01797 0.99951 -0.05570
83 0.99156 0.12771 -0.02232 -0.41419 -0.12733 0.99170 0.01804 -2.27405 0.02444 -0.01504 0.99959 -0.06061
84 0.99232 0.12157 -0.02281 -0.41688 -0.12123 0.99250 0.01580 -2.31436 0.02456 -0.01292 0.99961 -0.05812
85 0.99314 0.11443 -0.02392 -0.40857 -0.11414 0.99338 0.01307 -2.35208 0.02526 -0.01025 0.99963 -0.05309
86 0.99403 0.10535 -0.02842 -0.43712 -0.10499 0.99438 0.01392 -2.39560 0.02972 -0.01086 0.99950 -0.05374
87 0.99448 0.10107 -0.02834 -0.45247 -0.10078 0.99484 0.01129 -2.43918 0.02933 -0.00837 0.99953 -0.05724
88 0.99517 0.09405 -0.02823 -0.45169 -0.09380 0.99554 0.00987 -2.47278 0.02903 -0.00718 0.99955 -0.06052
89 0.99588 0.08627 -0.02780 -0.44933 -0.08609 0.99626 0.00784 -2.50892 0.02838 -0.00541 0.99958 -0.05824
90 0.99686 0.07418 -0.02777 -0.44642 -0.07408 0.99724 0.00437 -2.53200 0.02802 -0.00230 0.99960 -0.05609
91 0.99762 0.06298 -0.02808 -0.45078 -0.06297 0.99801 0.00153 -2.58837 0.02812 0.00024 0.99960 -0.05562
92 0.99829 0.05062 -0.02931 -0.45421 -0.05061 0.99872 0.00108 -2.63772 0.02933 0.00040 0.99957 -0.04777
93 0.99867 0.04068 -0.03176 -0.44794 -0.04065 0.99917 0.00154 -2.68560 0.03180 -0.00025 0.99949 -0.05189
94 0.99913 0.02639 -0.03239 -0.45564 -0.02627 0.99965 0.00411 -2.69762 0.03249 -0.00325 0.99947 -0.05095
95 0.99927 0.01718 -0.03404 -0.46860 -0.01703 0.99984 0.00483 -2.73495 0.03411 -0.00425 0.99941 -0.05030
96 0.99941 0.01210 -0.03228 -0.47526 -0.01194 0.99991 0.00531 -2.78582 0.03234 -0.00492 0.99946 -0.05498
97 0.99946 0.01016 -0.03126 -0.47775 -0.00997 0.99993 0.00649 -2.82990 0.03132 -0.00618 0.99949 -0.05404
98 0.99952 0.00952 -0.02956 -0.46524 -0.00936 0.99994 0.00543 -2.86704 0.02961 -0.00515 0.99955 -0.05203
99 0.99953 0.00879 -0.02941 -0.45787 -0.00861 0.99994 0.00645 -2.89577 0.02946 -0.00619 0.99955 -0.05526
100 0.99958 0.00640 -0.02835 -0.46754 -0.00623 0.99996 0.00608 -2.93002 0.02839 -0.00590 0.99958 -0.05380
101 0.99957 0.00539 -0.02885 -0.47679 -0.00522 0.99997 0.00577 -2.98381 0.02888 -0.00561 0.99957 -0.05130
102 0.99959 0.00378 -0.02842 -0.48779 -0.00360 0.99997 0.00644 -3.02492 0.02844 -0.00634 0.99958 -0.05490
103 0.99964 0.00328 -0.02652 -0.46882 -0.00303 0.99995 0.00960 -3.05998 0.02655 -0.00952 0.99960 -0.04820
104 0.99960 0.00331 -0.02822 -0.46348 -0.00287 0.99988 0.01554 -3.09491 0.02827 -0.01545 0.99948 -0.05199
105 0.99970 0.00179 -0.02444 -0.45576 -0.00139 0.99987 0.01612 -3.12092 0.02446 -0.01608 0.99957 -0.05630
106 0.99969 0.00131 -0.02469 -0.46325 -0.00083 0.99981 0.01955 -3.17172 0.02472 -0.01952 0.99950 -0.03630
107 0.99956 -0.00205 -0.02976 -0.46440 0.00264 0.99980 0.01987 -3.17056 0.02971 -0.01994 0.99936 -0.05133
108 0.99965 -0.00351 -0.02606 -0.48090 0.00384 0.99991 0.01268 -3.22706 0.02601 -0.01278 0.99958 -0.05746
109 0.99968 -0.00454 -0.02502 -0.47634 0.00476 0.99995 0.00884 -3.27747 0.02498 -0.00895 0.99965 -0.05306
110 0.99966 -0.00269 -0.02581 -0.47895 0.00295 0.99995 0.00993 -3.34723 0.02578 -0.01001 0.99962 -0.04658
111 0.99957 -0.00198 -0.02914 -0.45442 0.00237 0.99991 0.01332 -3.35917 0.02911 -0.01339 0.99949 -0.04888
112 0.99956 -0.00212 -0.02967 -0.47267 0.00254 0.99990 0.01420 -3.39943 0.02964 -0.01427 0.99946 -0.05193
113 0.99954 -0.00133 -0.03016 -0.47108 0.00175 0.99990 0.01399 -3.42374 0.03014 -0.01403 0.99945 -0.05026
114 0.99952 -0.00231 -0.03090 -0.49673 0.00275 0.99990 0.01418 -3.47672 0.03087 -0.01425 0.99942 -0.05107
115 0.99953 -0.00150 -0.03065 -0.47845 0.00194 0.99989 0.01444 -3.51129 0.03063 -0.01449 0.99943 -0.04420
116 0.99967 -0.00455 -0.02540 -0.51029 0.00499 0.99984 0.01743 -3.54254 0.02532 -0.01755 0.99953 -0.04499
117 0.99980 -0.00143 -0.01981 -0.46199 0.00188 0.99974 0.02264 -3.58559 0.01977 -0.02268 0.99955 -0.04961
118 0.99983 -0.00588 -0.01755 -0.47774 0.00627 0.99972 0.02261 -3.61779 0.01741 -0.02271 0.99959 -0.04643
119 0.99987 -0.00386 -0.01575 -0.48036 0.00421 0.99974 0.02241 -3.66744 0.01566 -0.02247 0.99962 -0.04582
120 0.99987 -0.00269 -0.01570 -0.47622 0.00306 0.99972 0.02335 -3.70681 0.01563 -0.02339 0.99960 -0.04154
121 0.99979 -0.00702 -0.01905 -0.45578 0.00746 0.99970 0.02333 -3.71625 0.01888 -0.02346 0.99955 -0.04604
122 0.99975 -0.00854 -0.02089 -0.47640 0.00902 0.99970 0.02259 -3.75522 0.02069 -0.02277 0.99953 -0.04774
