# fid r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz
939 0.46730 -0.88203 -0.06049 23.13270 0.88362 0.46370 0.06480 -19.58959 -0.02911 -0.08373 0.99606 0.57360
940 0.47521 -0.87764 -0.06259 23.17175 0.87946 0.47162 0.06419 -19.63283 -0.02681 -0.08554 0.99597 0.55837
941 0.48170 -0.87404 -0.06340 23.17893 0.87598 0.47816 0.06344 -19.63697 -0.02514 -0.08610 0.99597 0.55717
942 0.49238 -0.86808 -0.06315 23.24564 0.87001 0.48877 0.06472 -19.65358 -0.02532 -0.08680 0.99590 0.57719
943 0.50338 -0.86175 -0.06317 23.28168 0.86370 0.49970 0.06578 -19.68769 -0.02513 -0.08767 0.99583 0.57574
944 0.51387 -0.85559 -0.06244 23.29535 0.85739 0.50979 0.07070 -19.70072 -0.02866 -0.08987 0.99554 0.55592
945 0.52448 -0.84894 -0.06495 23.32249 0.85093 0.52006 0.07381 -19.71130 -0.02888 -0.09398 0.99516 0.55915
946 0.53493 -0.84226 -0.06671 23.34496 0.84439 0.53022 0.07660 -19.73708 -0.02914 -0.09730 0.99483 0.61198
947 0.54696 -0.83429 -0.06925 23.37851 0.83661 0.54173 0.08135 -19.74740 -0.03035 -0.10243 0.99428 0.61378
948 0.55722 -0.82730 -0.07123 23.41732 0.82988 0.55191 0.08180 -19.79560 -0.02836 -0.10469 0.99410 0.58458
949 0.56796 -0.81968 -0.07444 23.45462 0.82262 0.56241 0.08356 -19.79689 -0.02662 -0.10870 0.99372 0.53231
950 0.57924 -0.81135 -0.07864 23.50820 0.81487 0.57380 0.08212 -19.84767 -0.02150 -0.11165 0.99352 0.51106
951 0.59032 -0.80328 -0.07910 23.52849 0.80700 0.58536 0.07816 -19.87299 -0.01648 -0.10997 0.99380 0.52270
952 0.59347 -0.80120 -0.07663 23.53919 0.80466 0.58848 0.07883 -19.88497 -0.01806 -0.10845 0.99394 0.53660
953 0.59366 -0.80119 -0.07522 23.55964 0.80445 0.58849 0.08084 -19.90210 -0.02051 -0.10850 0.99388 0.55937
954 0.59039 -0.80337 -0.07770 23.57845 0.80694 0.58548 0.07792 -19.90200 -0.01711 -0.10870 0.99393 0.57373
955 0.59104 -0.80281 -0.07857 23.63464 0.80647 0.58612 0.07785 -19.97665 -0.01644 -0.10938 0.99386 0.58138
956 0.59428 -0.80053 -0.07734 23.67437 0.80403 0.58909 0.08061 -19.98392 -0.01897 -0.11009 0.99374 0.56541
957 0.59592 -0.79938 -0.07663 23.69678 0.80280 0.59071 0.08104 -20.00124 -0.01952 -0.10981 0.99376 0.54827
958 0.59603 -0.79930 -0.07656 23.72564 0.80271 0.59077 0.08150 -20.00697 -0.01992 -0.11003 0.99373 0.55978
959 0.60011 -0.79627 -0.07626 23.79741 0.79975 0.59534 0.07721 -20.06325 -0.01607 -0.10732 0.99409 0.54173
960 0.59907 -0.79727 -0.07399 23.80566 0.80058 0.59487 0.07212 -20.07610 -0.01349 -0.10244 0.99465 0.53164
961 0.59731 -0.79871 -0.07265 23.83292 0.80189 0.59321 0.07117 -20.08171 -0.01375 -0.10077 0.99481 0.52745
962 0.59772 -0.79839 -0.07286 23.88756 0.80159 0.59357 0.07167 -20.14734 -0.01397 -0.10125 0.99476 0.51302
963 0.60016 -0.79670 -0.07125 23.93126 0.79975 0.59609 0.07121 -20.15714 -0.01426 -0.09972 0.99491 0.52040
964 0.59477 -0.80059 -0.07281 23.92992 0.80379 0.59076 0.07020 -20.17511 -0.01319 -0.10027 0.99487 0.50290
965 0.59838 -0.79807 -0.07086 23.98257 0.80109 0.59437 0.07061 -20.19796 -0.01424 -0.09901 0.99498 0.50501
966 0.59737 -0.79901 -0.06888 23.99426 0.80182 0.59341 0.07037 -20.25096 -0.01535 -0.09727 0.99514 0.53259
967 0.59764 -0.79931 -0.06274 24.02407 0.80154 0.59377 0.07046 -20.23609 -0.01907 -0.09240 0.99554 0.55470
968 0.59698 -0.80015 -0.05804 24.05687 0.80202 0.59350 0.06724 -20.28352 -0.01935 -0.08668 0.99605 0.57661
969 0.59674 -0.80040 -0.05713 24.07644 0.80222 0.59342 0.06548 -20.30024 -0.01851 -0.08491 0.99622 0.60162
970 0.59638 -0.80085 -0.05460 24.11385 0.80252 0.59339 0.06209 -20.33255 -0.01733 -0.08084 0.99658 0.62639
971 0.59618 -0.80127 -0.05041 24.14062 0.80263 0.59336 0.06090 -20.35685 -0.01889 -0.07677 0.99687 0.64658
972 0.59664 -0.80094 -0.05024 24.17469 0.80229 0.59386 0.06047 -20.37597 -0.01860 -0.07639 0.99690 0.64150
973 0.59517 -0.80190 -0.05228 24.19455 0.80338 0.59224 0.06188 -20.39463 -0.01866 -0.07883 0.99671 0.63852
974 0.59546 -0.80177 -0.05099 24.22449 0.80313 0.59248 0.06278 -20.42050 -0.02012 -0.07834 0.99672 0.61918
975 0.59250 -0.80398 -0.05063 24.25092 0.80530 0.58948 0.06334 -20.44358 -0.02108 -0.07830 0.99671 0.61100
976 0.59590 -0.80138 -0.05195 24.30507 0.80283 0.59294 0.06225 -20.49089 -0.01908 -0.07880 0.99671 0.62164
977 0.59368 -0.80304 -0.05170 24.29729 0.80447 0.59074 0.06207 -20.48298 -0.01930 -0.07844 0.99673 0.62971
978 0.59566 -0.80141 -0.05415 24.35755 0.80311 0.59303 0.05768 -20.52364 -0.01411 -0.07785 0.99687 0.65339
979 0.59578 -0.80126 -0.05508 24.37882 0.80305 0.59322 0.05658 -20.53368 -0.01266 -0.07794 0.99688 0.66196
980 0.59252 -0.80365 -0.05541 24.39561 0.80544 0.58989 0.05735 -20.52942 -0.01340 -0.07861 0.99682 0.65991
981 0.59188 -0.80420 -0.05427 24.44037 0.80591 0.58928 0.05709 -20.59941 -0.01393 -0.07753 0.99689 0.66469
982 0.59365 -0.80295 -0.05339 24.46412 0.80458 0.59099 0.05815 -20.60450 -0.01514 -0.07748 0.99688 0.65813
983 0.59443 -0.80247 -0.05187 24.51138 0.80398 0.59177 0.05846 -20.65357 -0.01621 -0.07645 0.99694 0.65469
984 0.59422 -0.80289 -0.04770 24.53312 0.80412 0.59179 0.05626 -20.66465 -0.01694 -0.07179 0.99728 0.63726
985 0.59521 -0.80227 -0.04568 24.57181 0.80342 0.59302 0.05330 -20.67608 -0.01567 -0.06842 0.99753 0.62591
986 0.59538 -0.80219 -0.04477 24.60266 0.80329 0.59327 0.05249 -20.71304 -0.01554 -0.06721 0.99762 0.63355
987 0.59926 -0.79929 -0.04498 24.63224 0.80047 0.59741 0.04853 -20.73641 -0.01192 -0.06509 0.99781 0.67295
988 0.60281 -0.79660 -0.04524 24.63492 0.79782 0.60102 0.04756 -20.75950 -0.01069 -0.06477 0.99784 0.69309
989 0.60805 -0.79264 -0.04482 24.67463 0.79382 0.60621 0.04849 -20.76298 -0.01126 -0.06506 0.99782 0.69974
990 0.61406 -0.78795 -0.04532 24.71090 0.78921 0.61238 0.04628 -20.80004 -0.00871 -0.06418 0.99790 0.69347
991 0.62018 -0.78313 -0.04565 24.74903 0.78443 0.61856 0.04532 -20.83039 -0.00725 -0.06391 0.99793 0.68723
992 0.62651 -0.77805 -0.04605 24.76946 0.77938 0.62487 0.04591 -20.86768 -0.00694 -0.06465 0.99788 0.69196
993 0.63385 -0.77208 -0.04601 24.79580 0.77341 0.63209 0.04783 -20.90466 -0.00784 -0.06590 0.99780 0.69774
994 0.64154 -0.76561 -0.04757 24.82794 0.76706 0.63970 0.04904 -20.91113 -0.00711 -0.06795 0.99766 0.70892
995 0.64831 -0.75988 -0.04769 24.85703 0.76135 0.64651 0.04872 -20.93541 -0.00619 -0.06789 0.99767 0.70438
996 0.65428 -0.75483 -0.04644 24.88072 0.75624 0.65262 0.04676 -20.96075 -0.00499 -0.06571 0.99783 0.69680
997 0.66073 -0.74914 -0.04726 24.91278 0.75061 0.65896 0.04854 -20.99731 -0.00522 -0.06754 0.99770 0.68451
998 0.66603 -0.74434 -0.04869 24.93141 0.74592 0.66421 0.04928 -21.02447 -0.00434 -0.06914 0.99760 0.68937
999 0.67220 -0.73864 -0.05054 24.97279 0.74036 0.67038 0.04961 -21.04139 -0.00276 -0.07076 0.99749 0.70820
1000 0.67923 -0.73209 -0.05189 24.99703 0.73393 0.67752 0.04814 -21.09255 -0.00008 -0.07078 0.99749 0.72480
1001 0.68557 -0.72621 -0.05116 24.99519 0.72801 0.68388 0.04812 -21.10960 0.00004 -0.07024 0.99753 0.74740
1002 0.69004 -0.72193 -0.05165 25.03108 0.72377 0.68843 0.04720 -21.12050 0.00148 -0.06995 0.99755 0.79396
1003 0.69067 -0.72131 -0.05194 25.05259 0.72317 0.68895 0.04872 -21.11303 0.00065 -0.07121 0.99746 0.79143
1004 0.69091 -0.72101 -0.05289 25.08631 0.72294 0.68909 0.05004 -21.15447 0.00037 -0.07281 0.99735 0.77429
1005 0.69156 -0.72037 -0.05309 25.11141 0.72232 0.68974 0.05015 -21.21460 0.00049 -0.07303 0.99733 0.75390
1006 0.69182 -0.72022 -0.05168 25.12894 0.72207 0.68996 0.05072 -21.22385 -0.00087 -0.07240 0.99738 0.76157
1007 0.69181 -0.72016 -0.05257 25.16603 0.72208 0.69001 0.04999 -21.26569 0.00028 -0.07254 0.99737 0.77435
1008 0.69165 -0.72028 -0.05305 25.18416 0.72223 0.68974 0.05136 -21.24852 -0.00040 -0.07384 0.99727 0.78066
1009 0.69078 -0.72088 -0.05614 25.22585 0.72306 0.68852 0.05590 -21.30742 -0.00164 -0.07921 0.99686 0.77766
1010 0.69145 -0.72019 -0.05682 25.25977 0.72242 0.68897 0.05850 -21.35124 -0.00298 -0.08150 0.99667 0.76296
1011 0.69186 -0.71976 -0.05726 25.28556 0.72202 0.68923 0.06044 -21.38327 -0.00404 -0.08316 0.99653 0.73448
1012 0.69139 -0.71993 -0.06068 25.30978 0.72248 0.68856 0.06251 -21.37750 -0.00322 -0.08705 0.99620 0.71315
1013 0.69325 -0.71809 -0.06118 25.35072 0.72069 0.69056 0.06104 -21.44507 -0.00158 -0.08641 0.99626 0.71303
1014 0.69316 -0.71839 -0.05865 25.36174 0.72077 0.69037 0.06224 -21.43299 -0.00422 -0.08542 0.99634 0.71747
1015 0.69133 -0.72029 -0.05703 25.39906 0.72250 0.68828 0.06533 -21.49638 -0.00781 -0.08637 0.99623 0.68031
1016 0.69228 -0.71955 -0.05469 25.44243 0.72153 0.68895 0.06886 -21.50741 -0.01186 -0.08713 0.99613 0.66142
1017 0.69269 -0.71909 -0.05556 25.49122 0.72114 0.68931 0.06942 -21.54896 -0.01162 -0.08815 0.99604 0.67754
1018 0.69122 -0.72011 -0.06044 25.50011 0.72259 0.68773 0.06990 -21.56451 -0.00877 -0.09199 0.99572 0.69621
1019 0.69229 -0.71900 -0.06145 25.52094 0.72157 0.68875 0.07047 -21.58605 -0.00835 -0.09312 0.99562 0.72680
1020 0.69192 -0.71932 -0.06187 25.52781 0.72192 0.68822 0.07196 -21.62469 -0.00918 -0.09446 0.99549 0.75327
1021 0.69200 -0.71938 -0.06020 25.56515 0.72181 0.68823 0.07300 -21.63848 -0.01108 -0.09397 0.99551 0.73372
1022 0.69128 -0.72012 -0.05967 25.59771 0.72249 0.68744 0.07377 -21.66914 -0.01210 -0.09411 0.99549 0.71044
1023 0.69095 -0.72063 -0.05737 25.62939 0.72277 0.68707 0.07450 -21.70309 -0.01427 -0.09294 0.99557 0.67096
1024 0.69155 -0.72010 -0.05670 25.65776 0.72217 0.68761 0.07528 -21.73298 -0.01523 -0.09301 0.99555 0.66658
1025 0.69142 -0.72026 -0.05622 25.69068 0.72229 0.68750 0.07508 -21.75262 -0.01542 -0.09252 0.99559 0.67171
1026 0.69030 -0.72147 -0.05445 25.72035 0.72336 0.68661 0.07295 -21.78470 -0.01524 -0.08974 0.99585 0.66827
1027 0.68841 -0.72352 -0.05106 25.74606 0.72515 0.68504 0.06985 -21.79672 -0.01556 -0.08512 0.99625 0.65694
1028 0.68920 -0.72319 -0.04477 25.79342 0.72430 0.68595 0.06967 -21.82631 -0.01967 -0.08044 0.99657 0.67916
1029 0.68750 -0.72506 -0.04036 25.79759 0.72580 0.68425 0.07088 -21.85814 -0.02377 -0.07802 0.99667 0.71739
1030 0.68751 -0.72507 -0.04016 25.82608 0.72590 0.68466 0.06568 -21.87769 -0.02012 -0.07430 0.99703 0.79093
1031 0.68615 -0.72638 -0.03957 25.83575 0.72716 0.68329 0.06594 -21.91687 -0.02086 -0.07402 0.99704 0.81753
1032 0.68859 -0.72398 -0.04119 25.87282 0.72480 0.68540 0.06988 -21.92416 -0.02236 -0.07798 0.99670 0.79485
1033 0.68741 -0.72502 -0.04249 25.90151 0.72589 0.68398 0.07254 -21.96883 -0.02354 -0.08071 0.99646 0.77843
1034 0.68735 -0.72507 -0.04266 25.93404 0.72589 0.68370 0.07511 -21.96756 -0.02529 -0.08260 0.99626 0.76001
1035 0.68650 -0.72578 -0.04421 25.95910 0.72673 0.68285 0.07474 -22.03000 -0.02406 -0.08344 0.99622 0.79283
1036 0.68854 -0.72381 -0.04476 25.98031 0.72482 0.68489 0.07465 -22.03806 -0.02338 -0.08384 0.99620 0.82851
1037 0.68882 -0.72359 -0.04412 25.99872 0.72445 0.68485 0.07849 -22.06343 -0.02658 -0.08603 0.99594 0.81559
1038 0.68983 -0.72265 -0.04363 26.03480 0.72337 0.68556 0.08210 -22.06679 -0.02942 -0.08820 0.99567 0.78847
1039 0.69297 -0.71957 -0.04477 26.08175 0.72056 0.68917 0.07643 -22.13318 -0.02414 -0.08522 0.99607 0.81798
1040 0.69579 -0.71688 -0.04432 26.08813 0.71786 0.69207 0.07560 -22.13000 -0.02352 -0.08441 0.99615 0.81743
1041 0.70039 -0.71239 -0.04417 26.12732 0.71341 0.69676 0.07470 -22.16147 -0.02244 -0.08383 0.99623 0.83878
1042 0.70445 -0.70829 -0.04551 26.13857 0.70941 0.70068 0.07603 -22.20140 -0.02196 -0.08584 0.99607 0.83836
1043 0.71284 -0.69992 -0.04440 26.17154 0.70103 0.70924 0.07445 -22.21597 -0.02062 -0.08420 0.99624 0.83711
1044 0.71863 -0.69395 -0.04473 26.18734 0.69513 0.71512 0.07341 -22.24335 -0.01895 -0.08385 0.99630 0.83455
1045 0.72665 -0.68551 -0.04535 26.21617 0.68681 0.72326 0.07206 -22.28924 -0.01660 -0.08351 0.99637 0.84616
1046 0.73434 -0.67729 -0.04501 26.24380 0.67860 0.73098 0.07191 -22.31786 -0.01581 -0.08335 0.99640 0.84090
1047 0.74152 -0.66942 -0.04487 26.27455 0.67077 0.73823 0.07130 -22.35412 -0.01461 -0.08297 0.99645 0.83749
1048 0.74899 -0.66112 -0.04402 26.29589 0.66243 0.74573 0.07123 -22.38391 -0.01426 -0.08251 0.99649 0.83165
1049 0.75576 -0.65333 -0.04463 26.32782 0.65473 0.75256 0.07061 -22.40705 -0.01254 -0.08258 0.99651 0.84349
1050 0.76188 -0.64614 -0.04508 26.34124 0.64761 0.75862 0.07142 -22.44214 -0.01194 -0.08361 0.99643 0.83897
1051 0.76886 -0.63795 -0.04333 26.36917 0.63930 0.76561 0.07174 -22.47181 -0.01259 -0.08286 0.99648 0.83451
1052 0.77578 -0.62951 -0.04344 26.39693 0.63090 0.77258 0.07133 -22.49900 -0.01135 -0.08275 0.99651 0.83954
1053 0.78259 -0.62105 -0.04295 26.41283 0.62247 0.77963 0.06868 -22.53399 -0.00917 -0.08048 0.99671 0.83331
1054 0.79021 -0.61145 -0.04115 26.44650 0.61275 0.78718 0.06997 -22.58743 -0.01039 -0.08050 0.99670 0.79534
1055 0.79617 -0.60371 -0.04060 26.46459 0.60497 0.79304 0.07140 -22.62314 -0.01091 -0.08141 0.99662 0.77797
1056 0.80018 -0.59826 -0.04251 26.49460 0.59970 0.79700 0.07182 -22.62980 -0.00909 -0.08297 0.99651 0.79601
1057 0.80521 -0.59147 -0.04255 26.51106 0.59295 0.80215 0.07048 -22.67340 -0.00755 -0.08198 0.99661 0.81773
1058 0.80807 -0.58760 -0.04192 26.54100 0.58903 0.80488 0.07220 -22.70009 -0.00869 -0.08304 0.99651 0.82072
1059 0.80996 -0.58502 -0.04149 26.56479 0.58641 0.80672 0.07295 -22.72755 -0.00920 -0.08342 0.99647 0.81498
1060 0.81025 -0.58458 -0.04198 26.58891 0.58600 0.80681 0.07518 -22.75857 -0.01008 -0.08552 0.99629 0.81256
1061 0.81016 -0.58464 -0.04290 26.60900 0.58613 0.80662 0.07631 -22.78907 -0.01001 -0.08697 0.99616 0.81620
1062 0.80995 -0.58491 -0.04311 26.62065 0.58642 0.80642 0.07615 -22.81284 -0.00978 -0.08696 0.99616 0.82270
1063 0.80796 -0.58785 -0.04052 26.64164 0.58908 0.80419 0.07913 -22.80587 -0.01393 -0.08781 0.99604 0.82491
1064 0.81072 -0.58428 -0.03675 26.65927 0.58514 0.80671 0.08264 -22.87991 -0.01864 -0.08850 0.99590 0.84713
1065 0.81616 -0.57694 -0.03203 26.68411 0.57736 0.81202 0.08534 -22.93147 -0.02323 -0.08814 0.99584 0.88272
1066 0.82268 -0.56764 -0.03136 26.69270 0.56804 0.81853 0.08564 -22.96671 -0.02294 -0.08827 0.99583 0.92537
1067 0.82893 -0.55854 -0.03023 26.70023 0.55882 0.82453 0.08876 -22.98010 -0.02465 -0.09046 0.99559 0.90963
1068 0.83476 -0.54971 -0.03159 26.73537 0.55012 0.83021 0.09012 -22.99758 -0.02331 -0.09261 0.99543 0.88653
1069 0.83959 -0.54228 -0.03192 26.76636 0.54273 0.83489 0.09167 -23.02972 -0.02306 -0.09429 0.99528 0.87584
1070 0.84557 -0.53282 -0.03326 26.78743 0.53343 0.84078 0.09245 -23.07496 -0.02129 -0.09592 0.99516 0.88208
1071 0.85172 -0.52288 -0.03429 26.80267 0.52361 0.84674 0.09412 -23.13901 -0.02018 -0.09811 0.99497 0.89938
1072 0.85649 -0.51502 -0.03446 26.81160 0.51573 0.85107 0.09850 -23.16107 -0.02140 -0.10213 0.99454 0.89181
1073 0.85859 -0.51146 -0.03506 26.83000 0.51217 0.85279 0.10214 -23.16085 -0.02234 -0.10566 0.99415 0.86981
1074 0.85983 -0.50939 -0.03498 26.85683 0.51014 0.85419 0.10057 -23.20168 -0.02135 -0.10432 0.99431 0.88078
1075 0.86056 -0.50813 -0.03526 26.86914 0.50896 0.85508 0.09903 -23.24290 -0.02017 -0.10317 0.99446 0.89950
1076 0.86183 -0.50595 -0.03555 26.88642 0.50685 0.85649 0.09765 -23.28653 -0.01896 -0.10217 0.99459 0.91674
1077 0.86356 -0.50305 -0.03477 26.90423 0.50388 0.85824 0.09762 -23.31213 -0.01927 -0.10182 0.99462 0.91388
1078 0.86442 -0.50160 -0.03419 26.92702 0.50241 0.85925 0.09628 -23.32958 -0.01892 -0.10040 0.99477 0.89412
1079 0.86436 -0.50156 -0.03636 26.94888 0.50259 0.85918 0.09602 -23.35209 -0.01692 -0.10127 0.99472 0.90188
1080 0.86421 -0.50192 -0.03495 26.96941 0.50281 0.85907 0.09581 -23.38825 -0.01807 -0.10037 0.99479 0.90226
1081 0.86452 -0.50141 -0.03458 26.98690 0.50228 0.85947 0.09499 -23.45061 -0.01791 -0.09949 0.99488 0.91613
1082 0.86500 -0.50058 -0.03452 27.00838 0.50146 0.85997 0.09478 -23.47406 -0.01776 -0.09930 0.99490 0.92162
1083 0.86512 -0.50047 -0.03312 27.03775 0.50119 0.86007 0.09535 -23.50502 -0.01923 -0.09909 0.99489 0.93737
1084 0.86506 -0.50067 -0.03167 27.04854 0.50126 0.86008 0.09487 -23.52092 -0.02026 -0.09795 0.99499 0.95988
1085 0.86503 -0.50083 -0.02999 27.05373 0.50126 0.86010 0.09467 -23.56328 -0.02162 -0.09693 0.99506 0.98525
1086 0.86493 -0.50099 -0.03022 27.07990 0.50147 0.86013 0.09331 -23.59509 -0.02075 -0.09587 0.99518 0.97041
1087 0.86485 -0.50097 -0.03268 27.09802 0.50174 0.86029 0.09037 -23.64818 -0.01716 -0.09456 0.99537 0.95709
1088 0.86538 -0.50004 -0.03300 27.12059 0.50086 0.86088 0.08962 -23.66991 -0.01640 -0.09409 0.99543 0.96324
1089 0.86523 -0.50021 -0.03426 27.14381 0.50112 0.86055 0.09127 -23.70184 -0.01617 -0.09614 0.99524 0.98000
1090 0.86521 -0.50020 -0.03483 27.17267 0.50115 0.86043 0.09230 -23.74134 -0.01620 -0.09732 0.99512 0.98196
1091 0.86501 -0.50056 -0.03470 27.17982 0.50149 0.86018 0.09276 -23.77359 -0.01658 -0.09764 0.99508 0.98809
1092 0.86346 -0.50323 -0.03457 27.19545 0.50410 0.85851 0.09405 -23.79697 -0.01765 -0.09863 0.99497 0.98355
1093 0.86438 -0.50167 -0.03432 27.21278 0.50260 0.85986 0.08967 -23.86267 -0.01547 -0.09476 0.99538 0.99107
1094 0.86352 -0.50317 -0.03399 27.22917 0.50409 0.85920 0.08753 -23.87492 -0.01484 -0.09272 0.99558 0.99605
1095 0.86058 -0.50834 -0.03148 27.25341 0.50900 0.85624 0.08814 -23.88778 -0.01785 -0.09187 0.99561 1.00628
1096 0.85887 -0.51143 -0.02789 27.27861 0.51170 0.85440 0.09031 -23.92192 -0.02236 -0.09183 0.99552 1.02966
1097 0.85893 -0.51146 -0.02564 27.28824 0.51152 0.85448 0.09062 -23.96319 -0.02444 -0.09095 0.99556 1.04710
1098 0.85837 -0.51237 -0.02600 27.29553 0.51250 0.85408 0.08879 -24.00348 -0.02328 -0.08954 0.99571 1.06056
1099 0.85780 -0.51317 -0.02890 27.31336 0.51354 0.85338 0.08958 -24.01330 -0.02131 -0.09169 0.99556 1.07914
1100 0.85754 -0.51354 -0.02995 27.33423 0.51394 0.85279 0.09286 -24.05485 -0.02215 -0.09503 0.99523 1.09120
1101 0.85723 -0.51398 -0.03123 27.35820 0.51440 0.85205 0.09698 -24.09456 -0.02324 -0.09920 0.99480 1.08331
1102 0.85715 -0.51405 -0.03233 27.38172 0.51457 0.85189 0.09751 -24.13859 -0.02258 -0.10022 0.99471 1.07890
1103 0.85701 -0.51433 -0.03164 27.39899 0.51475 0.85160 0.09904 -24.18047 -0.02399 -0.10116 0.99458 1.07340
1104 0.85703 -0.51423 -0.03257 27.41531 0.51477 0.85172 0.09788 -24.20123 -0.02259 -0.10065 0.99467 1.09036
1105 0.85636 -0.51535 -0.03252 27.43663 0.51589 0.85110 0.09746 -24.22807 -0.02255 -0.10023 0.99471 1.10551
1106 0.85619 -0.51561 -0.03301 27.45422 0.51621 0.85102 0.09642 -24.26294 -0.02162 -0.09960 0.99479 1.12468
1107 0.85460 -0.51823 -0.03301 27.47112 0.51886 0.84962 0.09450 -24.27481 -0.02093 -0.09789 0.99498 1.14619
1108 0.85456 -0.51824 -0.03405 27.48829 0.51900 0.84969 0.09311 -24.32193 -0.01932 -0.09724 0.99507 1.15925
1109 0.85503 -0.51748 -0.03369 27.51395 0.51817 0.85000 0.09483 -24.36679 -0.02044 -0.09854 0.99492 1.15709
1110 0.85437 -0.51855 -0.03400 27.53276 0.51922 0.84911 0.09703 -24.36542 -0.02145 -0.10055 0.99470 1.14203
1111 0.85423 -0.51883 -0.03317 27.55311 0.51941 0.84897 0.09725 -24.42121 -0.02229 -0.10030 0.99471 1.14229
1112 0.85384 -0.51954 -0.03219 27.57247 0.51999 0.84847 0.09853 -24.43720 -0.02388 -0.10087 0.99461 1.13519
1113 0.85350 -0.52005 -0.03288 27.58812 0.52056 0.84810 0.09866 -24.50248 -0.02343 -0.10132 0.99458 1.15547
1114 0.85325 -0.52043 -0.03351 27.61053 0.52100 0.84781 0.09886 -24.51309 -0.02304 -0.10181 0.99454 1.17994
1115 0.85317 -0.52048 -0.03470 27.62346 0.52121 0.84787 0.09726 -24.55404 -0.02120 -0.10107 0.99465 1.19768
1116 0.85230 -0.52193 -0.03425 27.63850 0.52265 0.84725 0.09490 -24.56515 -0.02052 -0.09879 0.99490 1.19614
1117 0.85236 -0.52173 -0.03577 27.66825 0.52263 0.84741 0.09358 -24.60071 -0.01851 -0.09846 0.99497 1.19379
1118 0.85150 -0.52304 -0.03710 27.69372 0.52408 0.84665 0.09228 -24.63816 -0.01686 -0.09802 0.99504 1.19191
1119 0.85241 -0.52156 -0.03699 27.71579 0.52261 0.84762 0.09174 -24.68882 -0.01650 -0.09753 0.99510 1.19480
1120 0.85243 -0.52160 -0.03613 27.74027 0.52255 0.84760 0.09222 -24.72892 -0.01748 -0.09749 0.99508 1.19904
1121 0.85103 -0.52389 -0.03592 27.75897 0.52477 0.84596 0.09473 -24.75654 -0.01924 -0.09947 0.99485 1.18985
1122 0.84776 -0.52926 -0.03450 27.79251 0.52995 0.84263 0.09556 -24.76126 -0.02150 -0.09930 0.99483 1.17573
1123 0.84212 -0.53813 -0.03532 27.80389 0.53885 0.83696 0.09557 -24.81933 -0.02187 -0.09951 0.99480 1.15876
1124 0.83606 -0.54725 -0.03889 27.82969 0.54826 0.83075 0.09625 -24.83887 -0.02036 -0.10179 0.99460 1.14406
1125 0.82983 -0.55641 -0.04230 27.85568 0.55778 0.82484 0.09236 -24.89501 -0.01650 -0.10024 0.99483 1.13737
1126 0.82400 -0.56504 -0.04194 27.87879 0.56631 0.81898 0.09249 -24.91894 -0.01792 -0.09997 0.99483 1.13046
1127 0.81567 -0.57706 -0.04112 27.91247 0.57821 0.81085 0.09055 -24.90571 -0.01891 -0.09764 0.99504 1.11804
1128 0.80810 -0.58762 -0.04099 27.92076 0.58880 0.80381 0.08489 -24.97983 -0.01693 -0.09274 0.99555 1.11917
1129 0.79991 -0.59860 -0.04269 27.93605 0.59991 0.79574 0.08311 -25.01105 -0.01578 -0.09209 0.99563 1.12665
1130 0.79268 -0.60815 -0.04250 27.96156 0.60934 0.78818 0.08651 -25.05501 -0.01912 -0.09447 0.99534 1.13212
1131 0.78364 -0.61972 -0.04316 27.99284 0.62082 0.77873 0.09037 -25.07505 -0.02239 -0.09762 0.99497 1.12580
1132 0.77492 -0.63035 -0.04648 28.02323 0.63168 0.76976 0.09192 -25.09315 -0.02216 -0.10059 0.99468 1.11405
1133 0.76446 -0.64292 -0.04750 28.04037 0.64427 0.75932 0.09134 -25.11012 -0.02266 -0.10043 0.99469 1.12959
1134 0.75517 -0.65381 -0.04745 28.04838 0.65509 0.75001 0.09137 -25.15186 -0.02415 -0.10008 0.99469 1.14766
1135 0.74577 -0.66443 -0.04868 28.08300 0.66579 0.74070 0.08998 -25.17951 -0.02373 -0.09951 0.99475 1.15670
1136 0.73659 -0.67474 -0.04654 28.10374 0.67584 0.73166 0.08893 -25.18970 -0.02595 -0.09696 0.99495 1.14857
1137 0.72768 -0.68442 -0.04539 28.15450 0.68544 0.72312 0.08522 -25.21196 -0.02551 -0.09313 0.99533 1.12550
1138 0.72036 -0.69213 -0.04508 28.18811 0.69324 0.71640 0.07863 -25.26581 -0.02213 -0.08790 0.99588 1.12082
1139 0.71011 -0.70258 -0.04617 28.19492 0.70368 0.70592 0.08065 -25.26863 -0.02407 -0.08976 0.99567 1.15407
1140 0.70060 -0.71187 -0.04896 28.20395 0.71307 0.69599 0.08443 -25.30518 -0.02603 -0.09407 0.99523 1.17929
1141 0.69263 -0.71957 -0.04976 28.23668 0.72079 0.68793 0.08492 -25.34940 -0.02687 -0.09469 0.99514 1.20709
1142 0.68329 -0.72861 -0.04737 28.27625 0.72955 0.67867 0.08462 -25.35476 -0.02951 -0.09238 0.99529 1.19417
1143 0.67436 -0.73714 -0.04314 28.30530 0.73766 0.66992 0.08405 -25.38725 -0.03305 -0.08851 0.99553 1.17777
1144 0.66803 -0.74295 -0.04187 28.33405 0.74342 0.66387 0.08128 -25.41176 -0.03259 -0.08543 0.99581 1.15488
